Name,Phone Number,Email,Company,Job,Time,SSN,Zipcode,License_Plate
"Kim, Alexandra",2047190645,jessica87@example.net,"Walton, Garcia and Mcdonald",Quality manager,37378365.46027325,"('302-20-4105',)",16268-3237,2024MI CR5 0446
"Dyer, Steven",+1-893-760-8789x92168,trowe@example.com,"Rodriguez, Anderson and Boyd",Animal technologist,1649920664.8697567,"('572-59-1557',)",99263-9777,2028IL 9-35909T
"Hoffman, Jason",(314)362-8754x4566,sarahlambert@example.org,"Woods, Gross and Owens",Media buyer,1179169969.6732204,"('640-18-8567',)",63537-0651,2024OK KTY 356
"Mcdaniel, Alejandra",(237)641-1784x66615,alvaradosamantha@example.net,Jennings-Ford,"Engineer, broadcasting (operations)",914762896.425497,"('443-67-9684',)",20970-0200,2025MI OS0 9941
"Roth, John",796.364.8125x757,jennifer89@example.org,Bernard PLC,Regulatory affairs officer,1610277087.0110722,"('031-85-4548',)",09799-8964,2023PW VRW 079
"Norton, Tracy",001-223-711-4295,morrisjason@example.net,Travis Group,Statistician,481253867.9779993,"('587-27-9341',)",08948-1786,2027WA QAU 246
"Young, Stephanie",912-390-7190x90444,valdezjesse@example.org,"Johnston, Ibarra and Wilson","Designer, exhibition/display",1438149878.8320904,"('785-06-7696',)",91659-4140,2025FL 7557
"Summers, Susan",4892501629,fieldsgregory@example.net,Allen-Cooley,Museum/gallery curator,1226871336.3694196,"('772-13-1709',)",14049-6087,2030RI KXD-3372
"Benson, Lauren",814.500.1292x677,nrodriguez@example.net,Browning-Key,"Engineer, aeronautical",1027102512.737329,"('386-74-2794',)",95114-9892,2025TN LKQ 386
"Kelley, Janet",926.506.1050x9176,michael68@example.com,Jackson PLC,Adult guidance worker,980373917.3810464,"('023-61-9123',)",95688-7784,2026DE PF9 4134
